date,count,package
2021-02-26,41246,ggplot2
2021-02-27,24942,ggplot2
2021-02-28,24035,ggplot2
2021-03-01,47336,ggplot2
2021-03-02,49720,ggplot2
2021-03-03,57800,ggplot2
2021-03-04,61880,ggplot2
2021-03-05,55367,ggplot2
2021-03-06,39381,ggplot2
2021-03-07,41340,ggplot2
2021-03-08,61113,ggplot2
2021-03-09,62898,ggplot2
2021-03-10,64663,ggplot2
2021-03-11,63220,ggplot2
2021-03-12,58138,ggplot2
2021-03-13,41009,ggplot2
2021-03-14,43345,ggplot2
2021-03-15,61777,ggplot2
2021-03-16,74519,ggplot2
2021-03-17,80199,ggplot2
2021-03-18,79439,ggplot2
2021-03-19,79788,ggplot2
2021-03-20,68421,ggplot2
2021-03-21,61782,ggplot2
2021-03-22,77263,ggplot2
2021-03-23,80708,ggplot2
2021-03-24,69513,ggplot2
2021-03-25,59073,ggplot2
2021-03-26,50580,ggplot2
2021-03-27,40163,ggplot2
2021-03-28,41237,ggplot2
2021-03-29,59308,ggplot2
2021-03-30,60275,ggplot2
2021-03-31,59986,ggplot2
2021-04-01,57685,ggplot2
2021-04-02,49171,ggplot2
2021-04-03,41498,ggplot2
2021-04-04,39586,ggplot2
2021-04-05,53413,ggplot2
2021-04-06,59763,ggplot2
2021-04-07,61627,ggplot2
2021-04-08,59851,ggplot2
2021-04-09,56846,ggplot2
2021-04-10,42609,ggplot2
2021-04-11,48506,ggplot2
2021-04-12,64255,ggplot2
2021-04-13,65269,ggplot2
2021-04-14,67681,ggplot2
2021-04-15,69934,ggplot2
2021-04-16,67963,ggplot2
2021-04-17,48666,ggplot2
2021-04-18,50447,ggplot2
2021-04-19,72953,ggplot2
2021-04-20,79692,ggplot2
2021-04-21,80789,ggplot2
2021-04-22,80500,ggplot2
2021-04-23,72764,ggplot2
2021-04-24,57981,ggplot2
2021-04-25,58067,ggplot2
2021-04-26,79214,ggplot2
2021-04-27,77604,ggplot2
2021-04-28,80996,ggplot2
2021-04-29,81032,ggplot2
2021-04-30,74627,ggplot2
2021-05-01,56214,ggplot2
2021-05-02,48004,ggplot2
2021-05-03,67567,ggplot2
2021-05-04,68745,ggplot2
2021-05-05,68890,ggplot2
2021-05-06,70153,ggplot2
2021-05-07,66718,ggplot2
2021-05-08,49175,ggplot2
2021-05-09,48398,ggplot2
2021-05-10,72692,ggplot2
2021-05-11,70002,ggplot2
2021-05-12,72667,ggplot2
2021-05-13,66591,ggplot2
2021-05-14,61553,ggplot2
2021-05-15,47143,ggplot2
2021-05-16,48036,ggplot2
2021-05-17,74818,ggplot2
2021-05-18,75015,ggplot2
2021-05-19,74958,ggplot2
2021-05-20,72692,ggplot2
2021-05-21,68154,ggplot2
